0.06.260.211 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.260.443 I srv          init: The UI is disabled
0.06.260.444 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.269.783 I srv    load_model: loading model '<LOCAL_RUNTIME>\models\Qwen3.5-4B-Q4_K_M.gguf'
0.08.266.918 I cmn          init: llama threadpool init, n_threads = 6
0.08.362.689 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.08.362.845 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.08.369.504 I srv  llama_server: model loaded
0.08.369.519 I srv  llama_server: listening on http://127.0.0.1:18085
8.48.671.218 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
8.48.671.326 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
8.52.721.775 I slot print_timing: id  0 | task 0 | n_gen =    267, tg =  88.38 t/s, tg_3s =  88.71 t/s
8.52.734.862 I slot print_timing: id  0 | task 0 | prompt eval time =    1040.58 ms /  1535 tokens (    0.68 ms per token,  1475.13 tokens per second)
8.52.734.871 I slot print_timing: id  0 | task 0 |        eval time =    3022.91 ms /   268 tokens (   11.32 ms per token,    88.33 tokens per second)
8.52.734.872 I slot print_timing: id  0 | task 0 |       total time =    4063.49 ms /  1803 tokens
8.52.734.873 I slot print_timing: id  0 | task 0 |    graphs reused =        268
8.52.735.038 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1802, truncated = 0
8.52.743.965 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 526478149
8.52.744.572 I slot launch_slot_: id  0 | task 274 | processing task, is_child = 0
8.56.058.518 I slot print_timing: id  0 | task 274 | prompt eval time =     903.78 ms /  1873 tokens (    0.48 ms per token,  2072.40 tokens per second)
8.56.058.527 I slot print_timing: id  0 | task 274 |        eval time =    2410.14 ms /   153 tokens (   15.86 ms per token,    63.07 tokens per second)
8.56.058.529 I slot print_timing: id  0 | task 274 |       total time =    3313.92 ms /  2026 tokens
8.56.058.530 I slot print_timing: id  0 | task 274 |    graphs reused =        423
8.56.058.688 I slot      release: id  0 | task 274 | stop processing: n_tokens = 2025, truncated = 0
8.56.064.211 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 529801798
8.56.064.588 I slot launch_slot_: id  0 | task 434 | processing task, is_child = 0
8.57.527.825 I slot print_timing: id  0 | task 434 | prompt eval time =     436.70 ms /   781 tokens (    0.56 ms per token,  1788.39 tokens per second)
8.57.527.834 I slot print_timing: id  0 | task 434 |        eval time =    1026.51 ms /    82 tokens (   12.67 ms per token,    78.91 tokens per second)
8.57.527.835 I slot print_timing: id  0 | task 434 |       total time =    1463.21 ms /   863 tokens
8.57.527.837 I slot print_timing: id  0 | task 434 |    graphs reused =        504
8.57.527.915 I slot      release: id  0 | task 434 | stop processing: n_tokens = 862, truncated = 0
8.57.576.746 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 531271025
8.57.576.962 I slot launch_slot_: id  0 | task 520 | processing task, is_child = 0
9.00.773.943 I slot print_timing: id  0 | task 520 | prompt eval time =     817.39 ms /  1679 tokens (    0.49 ms per token,  2054.10 tokens per second)
9.00.773.953 I slot print_timing: id  0 | task 520 |        eval time =    2379.56 ms /   184 tokens (   13.00 ms per token,    76.90 tokens per second)
9.00.773.954 I slot print_timing: id  0 | task 520 |       total time =    3196.95 ms /  1863 tokens
9.00.773.956 I slot print_timing: id  0 | task 520 |    graphs reused =        689
9.00.774.073 I slot      release: id  0 | task 520 | stop processing: n_tokens = 1862, truncated = 0
9.00.783.116 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 534517183
9.00.783.792 I slot launch_slot_: id  0 | task 710 | processing task, is_child = 0
9.04.165.389 I slot print_timing: id  0 | task 710 | prompt eval time =     946.92 ms /  1933 tokens (    0.49 ms per token,  2041.34 tokens per second)
9.04.165.400 I slot print_timing: id  0 | task 710 |        eval time =    2434.63 ms /   147 tokens (   16.68 ms per token,    59.97 tokens per second)
9.04.165.402 I slot print_timing: id  0 | task 710 |       total time =    3381.56 ms /  2080 tokens
9.04.165.403 I slot print_timing: id  0 | task 710 |    graphs reused =        837
9.04.165.585 I slot      release: id  0 | task 710 | stop processing: n_tokens = 2079, truncated = 0
9.04.171.161 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 537908695
9.04.171.470 I slot launch_slot_: id  0 | task 864 | processing task, is_child = 0
