model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,0,3458,301,4096,0.4,0.375,4644,1024,14120.25975000006,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,1,3458,301,4096,0.4,0.375,4644,1024,10555.726583000023,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,2,3458,301,4096,0.4,0.5,4644,1024,10282.942625000032,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,3,3458,301,4096,0.6,0.5,4644,1024,9890.929999999798,1,1,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,4,3458,301,4096,0.5,0.5,4644,1024,10958.422582999901,0,1,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,5,3458,301,4096,0.5,0.5,4644,1024,10694.845083000018,1,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,6,3458,301,4096,0.4,0.5,4644,1024,11528.33133299987,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,7,3458,301,4096,0.4,0.375,4644,1024,9882.646625000007,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,8,3458,301,4096,0.4,0.5,4644,1024,10133.220582999911,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,9,3458,301,4096,0.4,0.375,4644,942,10352.27937500008,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,10,3458,301,4096,0.5,0.5,4644,668,7074.140040999964,1,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,11,3458,301,4096,0.5,0.5,4644,1024,10733.537416999752,1,0,1,1,1,0,0,0,0,1
