model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.92,coord_first,0,3458,301,4096,0.3,0.375,4349,505,4337.774416000002,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,1,3458,301,4096,0.3,0.375,4349,428,3791.1586250002074,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,2,3458,301,4096,0.3,0.375,4349,663,5608.870959000114,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,3,3458,301,4096,0.3,0.375,4349,500,4161.5832499999215,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,4,3458,301,4096,0.3,0.375,4349,480,4129.103791000034,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,5,3458,301,4096,0.3,0.375,4349,549,4042.6122079998095,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,6,3458,301,4096,0.3,0.375,4349,556,4255.224374999898,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,7,3458,301,4096,0.3,0.375,4349,485,3771.391959000084,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,8,3458,301,4096,0.4,0.5,4349,485,3670.8945000000313,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,coord_first,9,3458,301,4096,0.3,0.375,4349,494,4089.6569169999566,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,10,3458,301,4096,0.3,0.375,4349,618,4321.894125000199,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,11,3458,301,4096,0.3,0.375,4349,542,4077.2938330001125,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,12,3458,301,4096,0.3,0.375,4349,536,4179.882666999902,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,13,3458,301,4096,0.3,0.375,4349,503,3899.8129589999735,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,14,3458,301,4096,0.3,0.375,4349,512,3883.0687500001204,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,15,3458,301,4096,0.3,0.375,4349,575,4408.057917000178,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,16,3458,301,4096,0.4,0.5,4349,542,4133.628083000076,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,coord_first,17,3458,301,4096,0.4,0.375,4349,674,5075.3590419999455,0,1,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,18,3458,301,4096,0.3,0.375,4349,501,3507.421499999964,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,19,3458,301,4096,0.3,0.375,4349,577,4374.21808299996,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,0,3458,301,4096,0.3,0.375,4349,563,4822.029749999956,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,1,3458,301,4096,0.4,0.5,4349,798,6017.28624999987,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,reason_first,2,3458,301,4096,0.3,0.375,4349,637,5282.789417000004,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,3,3458,301,4096,0.4,0.5,4349,708,5364.5772500001385,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,reason_first,4,3458,301,4096,0.3,0.375,4349,768,6335.404124999968,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,5,3458,301,4096,0.4,0.5,4349,673,5430.1525000000765,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,reason_first,6,3458,301,4096,0.3,0.375,4349,680,5284.977667000021,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,7,3458,301,4096,0.3,0.375,4349,700,5100.073416999976,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,8,3458,301,4096,0.4,0.5,4349,699,5313.925749999953,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.92,reason_first,9,3458,301,4096,0.3,0.375,4349,552,4251.574249999976,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,10,3458,301,4096,0.3,0.375,4349,767,5626.307083000029,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,11,3458,301,4096,0.3,0.375,4349,710,5994.789958000183,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,12,3458,301,4096,0.3,0.375,4349,698,5785.581459000014,0,0,1,1,1,0,0,0,0,0
