model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.92,coord_first,0,3458,301,4096,0.6,0.625,4099,1024,13167.152042000225,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,1,3458,301,4096,0.5,0.5,4099,1024,12229.755292000164,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,2,3458,301,4096,0.6,0.625,4099,1024,15716.145500000039,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,3,3458,301,4096,0.5,0.625,4099,997,12633.24420899994,0,0,1,1,0,0,1,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,4,3458,301,4096,0.5,0.625,4099,964,12414.922499999875,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,5,3458,301,4096,0.5,0.625,4099,1024,13000.921625000046,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,6,3458,301,4096,0.6,0.625,4099,1024,13636.458665999953,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,7,3458,301,4096,0.5,0.5,4099,1024,15251.76066600011,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,8,3458,301,4096,0.7,0.75,4099,1024,13283.521332999953,0,1,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,9,3458,301,4096,0.5,0.625,4099,1024,16398.863291999987,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,10,3458,301,4096,0.6,0.75,4099,960,14303.289833000008,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,11,3458,301,4096,0.5,0.625,4099,1024,13409.034750000046,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,12,3458,301,4096,0.5,0.625,4099,1024,15847.559207999893,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,13,3458,301,4096,0.7,0.75,4099,1024,18822.634083999674,0,1,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,14,3458,301,4096,0.6,0.75,4099,1024,18654.939332999675,0,0,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,15,3458,301,4096,0.4,0.5,4099,1024,18874.092208000093,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,16,3458,301,4096,0.5,0.625,4099,1024,16225.023375000092,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,17,3458,301,4096,0.7,0.75,4099,1024,13982.58712500001,0,1,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,18,3458,301,4096,0.4,0.375,4099,1024,16022.457916999883,0,1,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.92,coord_first,19,3458,301,4096,0.5,0.625,4099,1024,20151.214208000056,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,0,3458,301,4096,0.5,0.625,4099,1024,31865.546582999967,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,1,3458,301,4096,0.5,0.625,4099,1024,19033.025124999993,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,2,3458,301,4096,0.5,0.625,4099,1024,28395.088083000017,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,3,3458,301,4096,0.5,0.625,4099,1024,17497.610957999997,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,4,3458,301,4096,0.5,0.625,4099,1024,17687.879041999848,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,5,3458,301,4096,0.4,0.5,4099,1024,19274.23133399998,0,0,1,1,1,0,0,1,0,0
gpt-4.1-mini,openai,0.92,reason_first,6,3458,301,4096,0.6,0.625,4099,1024,18873.25675000011,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,7,3458,301,4096,0.5,0.625,4099,1024,17480.293833000134,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,8,3458,301,4096,0.5,0.5,4099,1024,15319.700124999827,0,1,1,1,1,0,0,1,0,0
gpt-4.1-mini,openai,0.92,reason_first,9,3458,301,4096,0.5,0.625,4099,1024,16948.39337500025,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,10,3458,301,4096,0.5,0.625,4099,1024,19634.192166000048,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,11,3458,301,4096,0.5,0.625,4099,1024,14397.566208000171,0,0,1,1,1,0,0,1,0,1
