benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,elapsed_ms
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,0,0,4096,767,767,False,"[""15"", ""109999.99"", ""18"", ""120"", ""750"", ""15"", ""17"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,6,10,0.6,825,93,1791
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,1,0,4096,767,767,False,"[""15"", ""109500"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1039
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,2,0,4096,767,767,False,"[""15"", ""109999.99"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,93,1168
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,3,0,4096,767,767,False,"[""15"", ""109920"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1198
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,4,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1203
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,5,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1032
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,6,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,89,1555
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,7,0,4096,767,767,False,"[""15"", ""109900"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1307
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,8,0,4096,767,767,False,"[""15"", ""109999.99"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,93,1045
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,9,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1106
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,0,0,4096,767,767,False,"[""15"", ""109999.99"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,93,2388
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,1,0,4096,767,767,False,"[""15"", ""109999.99"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,93,1086
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,2,0,4096,767,767,False,"[""15"", ""109900"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1102
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,3,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1206
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,4,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1528
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,5,0,4096,767,767,False,"[""15"", ""109900"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1132
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,6,0,4096,767,767,False,"[""15"", ""109400"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""38"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1151
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,7,0,4096,767,767,False,"[""15"", ""109999.99"", ""21"", ""120"", ""750"", ""15"", ""17"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,93,1110
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,8,0,4096,767,767,False,"[""15"", ""109500"", ""21"", ""120"", ""750"", ""15"", ""17"", ""800"", ""38"", ""10.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,825,90,1133
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,9,0,4096,767,767,False,"[""15"", ""109999"", ""21"", ""120"", ""750"", ""15"", ""16"", ""800"", ""34"", ""10.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,5,10,0.5,825,90,1561
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,0,1024,3072,767,767,False,"[""15"", ""109200"", ""19"", ""120"", ""750"", ""15"", ""21"", ""800"", ""38"", ""10.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,1910,89,1153
gsm8k_pack,gemini-2.5-flash,google,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,1,1024,3072,767,767,False,"[""15"", ""109200"", ""21"", ""120"", ""750"", ""15"", ""17"", ""800"", ""38"", ""10.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,1910,89,1230
