benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,elapsed_ms
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,0,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1390
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,1,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1036
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,2,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1003
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,3,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,993
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,4,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1009
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,5,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1058
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,6,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1006
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,7,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1380
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,8,0,4096,767,767,False,"[""31"", ""114200"", ""18"", ""120"", ""750"", ""15"", ""24"", ""800"", ""34"", ""9""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,9,10,0.9,871,838,5233
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,9,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""27"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1316
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,0,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1048
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,1,0,4096,767,767,False,"[""31"", ""114200"", ""18"", ""120"", ""750"", ""15"", ""21"", ""800"", ""34"", ""9""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,9,10,0.9,871,838,5600
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,2,0,4096,767,767,False,"[""21"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1021
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,3,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1310
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,4,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,993
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,5,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1134
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,6,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1120
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,7,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1678
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,8,0,4096,767,767,False,"[""31"", ""114200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",True,10,10,1.0,871,824,5594
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,9,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,1009
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,0,1024,3072,767,767,False,"[""15"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1577
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,1,1024,3072,767,767,False,"[""15"", ""109000"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1084
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,2,1024,3072,767,767,False,"[""15"", ""109000"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1430
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,3,1024,3072,767,767,False,"[""15"", ""109000"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1073
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,4,1024,3072,767,767,False,"[""15"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1284
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,5,1024,3072,767,767,False,"[""15"", ""109000"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,998
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,6,1024,3072,767,767,False,"[""15"", ""109000"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1035
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,7,1024,3072,767,767,False,"[""15"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1083
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,8,1024,3072,767,767,False,"[""7"", ""109200"", ""16"", ""120"", ""750"", ""15"", ""15"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,2030,85,1378
