model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.0,coord_first,0,0,3759,4096,0.8,1.0,4481,779,6142.129040999862,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,3759,4096,0.8,1.0,4481,934,7320.8731670019915,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,2,0,3759,4096,0.9,1.0,4481,720,5667.587375002768,0,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,3,0,3759,4096,0.8,1.0,4481,893,7118.818375001865,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,4,0,3759,4096,0.8,1.0,4481,813,6028.429165999114,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,5,0,3759,4096,0.8,1.0,4481,816,5971.107000001211,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,6,0,3759,4096,0.8,1.0,4481,799,6256.963083000301,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,7,0,3759,4096,0.8,1.0,4481,774,6318.604208998295,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,8,0,3759,4096,0.8,1.0,4481,881,6157.4287910007115,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,9,0,3759,4096,0.8,1.0,4481,795,6318.146541001624,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,10,0,3759,4096,0.8,1.0,4481,844,5873.676458002592,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,11,0,3759,4096,0.8,1.0,4481,970,6188.419165999221,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,12,0,3759,4096,0.9,1.0,4481,791,4865.165208997496,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,13,0,3759,4096,0.8,1.0,4481,760,5914.11829199933,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,14,0,3759,4096,0.8,1.0,4481,786,5725.95787499813,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,15,0,3759,4096,0.8,1.0,4481,760,5798.256833000778,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,16,0,3759,4096,0.8,1.0,4481,854,6560.137999997096,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,17,0,3759,4096,0.8,1.0,4481,920,6470.865457999025,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,18,0,3759,4096,0.8,1.0,4481,708,5052.976042003138,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,19,0,3759,4096,0.8,1.0,4481,776,5462.679749998642,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,0,0,3759,4096,0.8,1.0,4481,930,7852.597041997797,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,1,0,3759,4096,0.8,1.0,4481,825,6589.817457999743,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,2,0,3759,4096,0.8,1.0,4481,852,6376.116957999329,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,3,0,3759,4096,0.8,1.0,4481,820,6541.295582999737,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,4,0,3759,4096,0.8,1.0,4481,840,5735.54633400272,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,5,0,3759,4096,0.8,1.0,4481,822,6396.552332997089,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,6,0,3759,4096,0.9,1.0,4481,900,5597.26820799915,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,7,0,3759,4096,0.8,1.0,4481,851,6137.427125002432,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,8,0,3759,4096,1.0,1.0,4481,726,5535.814750001009,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,9,0,3759,4096,0.8,1.0,4481,900,6197.324708999076,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,10,0,3759,4096,0.8,1.0,4481,731,5269.853582998621,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,11,0,3759,4096,0.8,1.0,4481,884,6925.298792000831,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,12,0,3759,4096,0.8,1.0,4481,887,6506.209541999851,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,13,0,3759,4096,0.8,1.0,4481,793,5787.96504100319,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,14,0,3759,4096,0.8,1.0,4481,864,5949.865458998829,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,15,0,3759,4096,0.8,1.0,4481,656,4613.297125000827,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,16,0,3759,4096,0.8,1.0,4481,862,5915.1857500000915,0,0,1,1,1,1,1,1,1,1
