model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,0,904,2712,4096,1.0,1.0,4555,909,5328.875916995457,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,0,2712,904,4096,1.0,1.0,4620,945,5606.3234159955755,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,0,3616,4096,1.0,1.0,4517,1024,4667.532667001069,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4581,897,5711.423916000058,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,0,3616,4096,1.0,1.0,4517,913,5093.350458999339,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,0,904,2712,4096,1.0,1.0,4555,1024,5013.615582996863,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,1,1808,1808,4096,1.0,1.0,4581,921,5118.526791004115,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,0,3254,362,4096,1.0,1.0,4640,915,5078.541208000388,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,1,0,3616,4096,1.0,1.0,4517,974,4800.99679200066,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,1,3254,362,4096,1.0,1.0,4640,928,5767.436916001316,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,1,904,2712,4096,1.0,1.0,4555,938,5407.547499999055,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,0,2712,904,4096,1.0,1.0,4620,952,9951.748709005187,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,2,0,3616,4096,1.0,1.0,4517,982,5204.552542003512,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,2,1808,1808,4096,1.0,1.0,4581,991,5521.18270900246,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,0,3254,362,4096,1.0,1.0,4640,1024,5942.842625001504,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,1,904,2712,4096,1.0,1.0,4555,925,5203.774125002383,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,1,2712,904,4096,1.0,1.0,4620,982,5476.359541004058,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,1,2712,904,4096,1.0,1.0,4620,924,5346.448916003283,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,3,0,3616,4096,1.0,1.0,4517,906,4765.514292004809,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,3,1808,1808,4096,0.9,0.9,4581,924,5607.833333000599,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,0,1808,1808,4096,1.0,1.0,4581,901,5002.197375004471,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,1,3254,362,4096,1.0,1.0,4640,1010,5916.548125002009,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,2,2712,904,4096,1.0,1.0,4620,961,5363.13204200269,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,2,904,2712,4096,1.0,1.0,4555,898,4888.028958004725,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,2,904,2712,4096,1.0,1.0,4555,899,4893.864584002586,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,2,2712,904,4096,1.0,1.0,4620,812,4588.985124995816,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,4,1808,1808,4096,1.0,1.0,4581,931,5140.441707997525,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,1,1808,1808,4096,1.0,1.0,4581,916,5060.373584004992,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,3,904,2712,4096,1.0,1.0,4555,891,4913.251875004789,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,4,904,2712,4096,1.0,1.0,4555,909,5352.818457999092,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,2,1808,1808,4096,1.0,1.0,4581,1024,5415.829208999639,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,3,904,2712,4096,1.0,1.0,4555,1024,5641.270708001684,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,2,3254,362,4096,1.0,1.0,4640,940,5283.122959001048,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,5,904,2712,4096,1.0,1.0,4555,1000,5681.75720799627,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,4,0,3616,4096,0.9,0.9,4517,1024,5006.774125002266,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,3,3254,362,4096,1.0,1.0,4640,925,5123.220667002897,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,4,3254,362,4096,1.0,1.0,4640,916,4950.880541000515,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,5,0,3616,4096,1.0,1.0,4517,868,6236.105624993797,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,2,3254,362,4096,1.0,1.0,4640,895,4772.909332998097,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,3,1808,1808,4096,1.0,1.0,4581,939,5419.692957999359,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,0,3616,4096,1.0,1.0,4517,877,4889.660083004856,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,3,2712,904,4096,1.0,1.0,4620,1024,5949.724625003,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,5,3254,362,4096,1.0,1.0,4640,1024,5767.6714999979595,1,1,1,1,1,1,1,1,1,1
