model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gemini-2.0-flash,google,0.0,reason_first,0,0,3616,4096,0.9,0.9,4397,1024,7076.684625004418,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,0,2712,904,4096,1.0,1.0,4391,853,4734.7937500017,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,reason_first,0,2712,904,4096,0.9,0.9,4391,1024,6416.663292009616,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,1,0,3616,4096,0.9,0.9,4397,1024,6089.491207996616,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,0,3254,362,4096,1.0,1.0,4391,1020,6103.323834002367,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4392,1024,5554.4645830086665,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,reason_first,1,2712,904,4096,0.9,0.9,4391,1024,6099.27275001246,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,coord_first,0,0,3616,4096,0.9,0.9,4397,1024,5632.646875004866,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,1,2712,904,4096,1.0,1.0,4391,901,5576.706292005838,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,reason_first,1,1808,1808,4096,0.9,0.9,4392,1024,6129.91666700691,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,2,1808,1808,4096,0.9,0.9,4392,1024,5949.064707994694,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,coord_first,0,904,2712,4096,1.0,1.0,4397,953,6106.589333008742,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,reason_first,0,3254,362,4096,0.9,0.9,4391,910,5835.055875009857,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,0,904,2712,4096,0.9,0.9,4397,897,4839.461041992763,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,2,0,3616,4096,0.9,0.9,4397,1024,6914.218500009156,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,coord_first,0,1808,1808,4096,1.0,1.0,4392,676,4544.2730840004515,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,3616,4096,1.0,1.0,4397,1024,6386.2688329973025,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,1,1808,1808,4096,1.0,1.0,4392,878,5718.627207999816,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,reason_first,1,3254,362,4096,0.9,0.9,4391,908,5642.483167001046,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,1,904,2712,4096,1.0,1.0,4397,1010,6817.027208002401,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,2,904,2712,4096,0.0,0.0,4397,897,5249.121125001693,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.5,reason_first,3,1808,1808,4096,0.9,0.9,4392,1024,5836.958209009026,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,3,0,3616,4096,1.0,1.0,4397,1024,6177.138457991532,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,3,904,2712,4096,0.9,0.9,4397,897,5211.140166997211,1,1,1,1,1,1,1,1,1,0
