model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.25,reason_first,0,904,2712,4096,0.9,0.9,4026,921,17669.367667003826,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4048,884,17640.10587499797,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,0,3254,362,4096,1.0,1.0,4090,765,12120.399749997887,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,0,904,2712,4096,0.9,0.9,4026,690,11536.993499998061,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,1,904,2712,4096,0.9,0.9,4026,803,14810.998125001788,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,0,0,3616,4096,1.0,1.0,3999,831,16661.14258300513,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,1,1808,1808,4096,1.0,1.0,4048,975,24157.28500000114,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,2,1808,1808,4096,1.0,1.0,4048,892,19356.511625002895,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,3616,4096,1.0,1.0,3999,802,26735.320125000726,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,0,1808,1808,4096,1.0,1.0,4047,684,16479.084332997445,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,2,904,2712,4096,1.0,1.0,4026,860,15750.877832993865,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,0,2712,904,4096,1.0,1.0,4075,759,13724.993415999052,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,1,2712,904,4096,1.0,1.0,4075,841,11786.42787499848,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,3,1808,1808,4096,1.0,1.0,4048,729,16161.108542000875,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,1,904,2712,4096,1.0,1.0,4026,820,14725.634000002174,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,0,3616,4096,1.0,1.0,3999,825,13830.930208001519,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,2,904,2712,4096,1.0,1.0,4026,663,17385.21225000295,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,2,2712,904,4096,1.0,1.0,4075,687,11172.628917003749,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,1,1808,1808,4096,1.0,1.0,4047,784,16147.314209003525,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,0,2712,904,4096,1.0,1.0,4075,679,18823.779708000075,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,3,2712,904,4096,1.0,1.0,4075,858,11598.004958999809,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,1,3254,362,4096,1.0,1.0,4090,797,9234.184000000823,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,4,2712,904,4096,1.0,1.0,4075,677,9906.654541002354,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,1,2712,904,4096,0.9,0.9,4075,683,10009.312833994045,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,4,1808,1808,4096,1.0,1.0,4048,865,12983.24870900251,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,5,2712,904,4096,1.0,1.0,4075,702,23734.566416002053,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,6,2712,904,4096,1.0,1.0,4075,935,10542.311375000281,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,2,3254,362,4096,1.0,1.0,4090,781,13317.12195900036,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,2,1808,1808,4096,0.9,0.9,4047,646,10348.146457996336,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,2,2712,904,4096,0.9,0.9,4075,676,12923.983500004397,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,3,2712,904,4096,1.0,1.0,4075,794,10951.788166006736,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,1,0,3616,4096,1.0,1.0,3999,749,13098.005749998265,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,2,0,3616,4096,1.0,1.0,3999,995,13181.467374997737,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,5,1808,1808,4096,1.0,1.0,4048,784,12330.090999996173,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,3,0,3616,4096,1.0,1.0,3999,792,12556.850499997381,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,7,2712,904,4096,1.0,1.0,4075,685,12218.159208998259,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,6,1808,1808,4096,1.0,1.0,4048,697,8543.826125001942,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,8,2712,904,4096,1.0,1.0,4075,672,16110.205208002299,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,0,3254,362,4096,1.0,1.0,4090,717,37600.624416001665,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,3,904,2712,4096,1.0,1.0,4026,720,10988.818584002729,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,3,1808,1808,4096,1.0,1.0,4047,853,9565.62254200253,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,0,3616,4096,1.0,1.0,3999,800,14452.69924999593,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,3,904,2712,4096,0.9,0.9,4026,665,8337.171625003975,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,3,3254,362,4096,1.0,1.0,4090,687,9828.35941700614,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,4,904,2712,4096,1.0,1.0,4026,950,13413.852582998516,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,5,904,2712,4096,1.0,1.0,4026,698,9454.874333001499,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,4,904,2712,4096,1.0,1.0,4026,766,11416.847291999147,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,5,904,2712,4096,1.0,1.0,4026,855,9580.019416003779,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,4,3254,362,4096,1.0,1.0,4090,704,8960.632250003982,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,3,0,3616,4096,1.0,1.0,3999,898,11742.977415997302,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,4,0,3616,4096,1.0,1.0,3999,801,11258.89399999869,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,7,1808,1808,4096,1.0,1.0,4048,715,10334.168875000614,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,9,2712,904,4096,1.0,1.0,4075,694,14037.003249999543,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,8,1808,1808,4096,1.0,1.0,4048,699,10299.433708001743,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,5,3254,362,4096,1.0,1.0,4090,691,9758.224875004089,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,1,3254,362,4096,1.0,1.0,4090,677,10404.22516700346,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,6,904,2712,4096,1.0,1.0,4026,762,9271.990082997945,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,6,3254,362,4096,0.9,0.9,4090,846,10191.316582997388,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,4,2712,904,4096,1.0,1.0,4075,749,8270.947208999132,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,7,904,2712,4096,1.0,1.0,4026,711,10572.234999999637,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,3616,4096,1.0,1.0,3999,800,22824.17912499659,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,7,3254,362,4096,1.0,1.0,4090,692,11132.063417004247,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,8,904,2712,4096,0.9,0.9,4026,665,8578.370457995334,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,904,2712,4096,1.0,1.0,4026,685,18952.967165998416,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,5,2712,904,4096,1.0,1.0,4075,756,15618.209875006869,1,1,1,1,1,1,1,1,1,1
