model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.5-flash,google,0.0,coord_first,0,0,32431,32768,0.8,1.0,35933,1488,8069.724417000543,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,1,0,32431,32768,0.8,1.0,35933,1447,8167.246875000274,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,2,0,32431,32768,0.8,1.0,35933,1468,8367.791250000664,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,3,0,32431,32768,0.8,1.0,35933,1576,8674.924208000448,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,4,0,32431,32768,0.8,1.0,35933,1436,7612.745250000444,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,5,0,32431,32768,0.8,1.0,35933,1653,9793.933291999565,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,6,0,32431,32768,1.0,1.0,35933,1196,8148.404207999192,1,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,7,0,32431,32768,0.8,1.0,35933,1461,9582.660250000117,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,8,0,32431,32768,0.8,1.0,35933,1389,8079.013624999789,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,9,0,32431,32768,0.8,1.0,35933,1460,8180.227083999853,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,0,0,32431,32768,0.8,1.0,35933,1400,8532.509167000171,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,1,0,32431,32768,0.8,1.0,35933,1487,8925.626000000193,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,2,0,32431,32768,0.8,1.0,35933,1565,9721.437665999474,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,3,0,32431,32768,0.8,1.0,35933,1028,6404.20958300092,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,4,0,32431,32768,0.9,1.0,35933,1301,8204.17179099968,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,5,0,32431,32768,0.8,1.0,35933,1390,8839.654041999893,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,6,0,32431,32768,0.8,1.0,35933,1474,9905.550708001101,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,7,0,32431,32768,0.9,1.0,35933,1121,6889.554916000634,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,8,0,32431,32768,0.8,1.0,35933,1479,10160.82649999953,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,9,0,32431,32768,0.8,1.0,35933,1351,7225.258374999612,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,0,8107,24324,32768,0.8,1.0,35654,1999,11831.499457999598,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,1,8107,24324,32768,0.9,1.0,35654,1692,11170.898833001047,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,2,8107,24324,32768,0.8,1.0,35654,1610,9770.74524999989,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,3,8107,24324,32768,0.8,1.0,35654,1730,11026.279415998943,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,4,8107,24324,32768,0.9,1.0,35654,1660,10766.299666000123,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,5,8107,24324,32768,0.8,1.0,35654,1763,10875.263709000137,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,6,8107,24324,32768,0.9,1.0,35654,1842,12441.01687500006,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,7,8107,24324,32768,0.9,1.0,35654,1738,11475.427375000436,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,8,8107,24324,32768,0.9,1.0,35654,1985,12469.550666999567,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,9,8107,24324,32768,0.8,1.0,35654,1520,9423.216666998997,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,0,8107,24324,32768,0.8,1.0,35653,1759,10207.251750000069,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,1,8107,24324,32768,0.8,1.0,35653,1654,12387.0469579997,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,2,8107,24324,32768,0.8,1.0,35653,1633,10695.136792000994,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,3,8107,24324,32768,0.8,1.0,35653,1902,12791.200499999832,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,4,8107,24324,32768,0.8,1.0,35653,1645,10208.292625000468,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,5,8107,24324,32768,0.9,1.0,35653,1779,10297.648207999373,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,6,8107,24324,32768,0.8,1.0,35653,1871,10710.000167000544,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,7,8107,24324,32768,0.8,1.0,35653,1802,10743.814874998861,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,8,8107,24324,32768,0.8,1.0,35653,1405,8569.157917001576,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,9,8107,24324,32768,0.8,1.0,35653,1582,9237.295666998762,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,0,16215,16216,32768,0.8,1.0,35424,1940,11147.442542000135,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,1,16215,16216,32768,0.9,1.0,35424,1819,11000.868291999723,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,2,16215,16216,32768,0.8,1.0,35424,1738,10926.108416999341,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,3,16215,16216,32768,0.8,1.0,35424,1636,10506.029625001247,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,4,16215,16216,32768,0.8,1.0,35424,1626,9613.929541999823,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,5,16215,16216,32768,0.8,1.0,35424,1778,10496.157625000706,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,6,16215,16216,32768,0.9,1.0,35424,1675,11005.690875001164,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,7,16215,16216,32768,0.8,1.0,35424,1740,12869.625749999614,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,8,16215,16216,32768,0.9,1.0,35424,1785,10515.182208000624,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,9,16215,16216,32768,0.9,1.0,35424,1735,10790.779208000458,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,0,16215,16216,32768,0.8,1.0,35424,1863,11008.674874999997,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,1,16215,16216,32768,0.8,1.0,35424,1811,11008.33862500076,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,2,16215,16216,32768,0.8,1.0,35424,2083,12513.324790999832,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,3,16215,16216,32768,0.8,1.0,35424,2466,14852.284250000594,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,4,16215,16216,32768,0.8,1.0,35424,1978,11580.75858399934,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,5,16215,16216,32768,0.8,1.0,35424,1970,12402.169458999197,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,6,16215,16216,32768,0.8,1.0,35424,1931,11446.636458000285,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,7,16215,16216,32768,0.8,1.0,35424,1712,10514.381167000465,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,8,16215,16216,32768,0.9,1.0,35424,1968,13615.081833000659,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,9,16215,16216,32768,0.8,1.0,35424,2120,12635.260249999192,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,0,24323,8108,32768,0.8,1.0,35161,1554,9285.630332999062,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,1,24323,8108,32768,0.9,1.0,35161,1371,8414.210834000187,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,2,24323,8108,32768,0.9,1.0,35161,1558,9163.645291999273,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,3,24323,8108,32768,0.8,1.0,35161,1552,10892.358250001053,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,4,24323,8108,32768,0.8,1.0,35161,1777,11166.240042000936,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,5,24323,8108,32768,0.9,1.0,35161,1643,10502.942917000837,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,6,24323,8108,32768,0.8,1.0,35161,1633,10709.10804199957,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,7,24323,8108,32768,0.9,1.0,35161,1678,9594.427959000313,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,8,24323,8108,32768,0.9,1.0,35161,1834,10268.511083999329,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,coord_first,9,24323,8108,32768,0.9,1.0,35161,1870,12077.14154200039,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,0,24323,8108,32768,0.8,1.0,35161,2152,12130.658624999342,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,1,24323,8108,32768,0.8,1.0,35161,2101,12193.729709000763,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,2,24323,8108,32768,1.0,1.0,35161,1813,11341.097082999113,1,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,3,24323,8108,32768,0.8,1.0,35161,2042,12870.986417001404,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,4,24323,8108,32768,0.9,1.0,35161,2005,13370.459583000411,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,5,24323,8108,32768,0.8,1.0,35161,2343,15341.970957999365,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,6,24323,8108,32768,0.9,1.0,35161,2152,13863.598124999044,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,7,24323,8108,32768,0.8,1.0,35161,1560,9777.534666000065,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,8,24323,8108,32768,0.8,1.0,35161,2192,15396.762749998743,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.75,reason_first,9,24323,8108,32768,0.8,1.0,35161,2044,13708.644875001482,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,0,29187,3244,32768,0.8,1.0,35012,1925,10842.280625000058,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,1,29187,3244,32768,0.9,1.0,35012,1828,11861.965957999928,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,2,29187,3244,32768,0.8,1.0,35012,1740,10348.567791999812,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,3,29187,3244,32768,0.9,1.0,35012,1805,10851.029875000677,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,4,29187,3244,32768,0.8,1.0,35012,1737,10877.088166998874,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,5,29187,3244,32768,0.9,1.0,35012,1995,11368.953540999428,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,6,29187,3244,32768,0.9,1.0,35012,1840,11073.121666000588,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,7,29187,3244,32768,0.9,1.0,35012,1777,10115.749708000294,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,8,29187,3244,32768,0.8,1.0,35012,1946,13508.892124998965,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,coord_first,9,29187,3244,32768,0.9,1.0,35012,1532,8831.206333999944,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,0,29187,3244,32768,0.9,1.0,35012,1564,10586.957457999233,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,1,29187,3244,32768,0.8,1.0,35012,1531,9129.63395800034,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,2,29187,3244,32768,0.8,1.0,35012,1929,11474.146499998824,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,3,29187,3244,32768,0.8,1.0,35012,1454,10837.769416999436,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,4,29187,3244,32768,0.8,1.0,35012,1718,10160.451708999972,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,5,29187,3244,32768,0.9,1.0,35012,1618,11313.285459000326,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,6,29187,3244,32768,0.8,1.0,35012,1683,10185.008959000697,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,7,29187,3244,32768,0.9,1.0,35012,1859,12584.62954099923,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,8,29187,3244,32768,0.8,1.0,35012,1621,9353.069708000476,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.9,reason_first,9,29187,3244,32768,0.9,1.0,35012,2004,13261.033500000849,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,0,30809,1622,32768,0.9,1.0,34958,2091,11997.647583000798,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,1,30809,1622,32768,0.9,1.0,34958,1574,10781.093708999833,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,2,30809,1622,32768,0.8,0.875,34958,1713,10366.863624998587,0,1,1,1,1,1,1,1,1,0
gemini-2.5-flash,google,0.95,coord_first,3,30809,1622,32768,0.8,0.875,34958,1817,12361.731083999985,0,1,1,1,1,1,1,1,1,0
gemini-2.5-flash,google,0.95,coord_first,4,30809,1622,32768,0.9,1.0,34958,1887,12756.21458400019,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,5,30809,1622,32768,0.8,1.0,34958,1454,9942.957415998535,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,6,30809,1622,32768,0.8,1.0,34958,1934,11512.02537500103,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.95,coord_first,7,30809,1622,32768,0.8,1.0,34958,1694,10281.215832999806,0,0,1,1,1,1,1,1,1,1
