model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.0,coord_first,0,0,32431,32768,0.8,1.0,32994,1024,14470.683458000167,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,1,0,32431,32768,0.8,1.0,32994,1024,15998.36087499989,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,2,0,32431,32768,0.8,1.0,32994,1024,18055.247207999855,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,3,0,32431,32768,0.8,1.0,32994,1024,54388.36408300017,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,4,0,32431,32768,0.8,1.0,32994,1024,12323.606250000012,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,5,0,32431,32768,0.8,1.0,32994,1024,21314.5289590002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,6,0,32431,32768,0.8,1.0,32994,1024,23245.564249999916,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,7,0,32431,32768,0.8,1.0,32994,1024,18827.721209000174,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,8,0,32431,32768,0.8,1.0,32994,1024,64848.21024999997,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,9,0,32431,32768,0.8,1.0,32994,1024,31839.163292000194,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,32431,32768,0.8,1.0,32994,1024,16839.080708999973,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,0,32431,32768,0.8,1.0,32994,1024,16943.556875000013,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,0,32431,32768,0.8,1.0,32994,1024,15546.62133299962,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,3,0,32431,32768,0.8,1.0,32994,1024,19991.534999999887,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,4,0,32431,32768,0.8,1.0,32994,1021,22968.741582999883,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,32431,32768,0.8,1.0,32994,1024,18018.807749999723,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,6,0,32431,32768,0.8,1.0,32994,1024,32716.921290999835,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,7,0,32431,32768,0.8,1.0,32994,1024,14716.8824580001,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,8,0,32431,32768,0.8,1.0,32994,1024,19730.654792000223,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,9,0,32431,32768,0.9,1.0,32994,1024,23236.903416999667,1,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,0,8107,24324,32768,0.7,0.875,32912,1024,19225.95350000006,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,1,8107,24324,32768,0.7,0.875,32912,1024,16650.761542000055,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,2,8107,24324,32768,0.8,1.0,32912,1024,11408.225083000161,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,3,8107,24324,32768,0.7,0.875,32912,1024,14905.90566700007,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,4,8107,24324,32768,0.8,1.0,32912,1024,22255.095084000004,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,5,8107,24324,32768,0.8,1.0,32912,1024,27789.136166999924,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,6,8107,24324,32768,0.8,1.0,32912,1024,19698.86095799984,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,7,8107,24324,32768,0.8,1.0,32912,1024,13585.060583000086,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,8,8107,24324,32768,0.8,1.0,32912,1024,12020.572667000124,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,9,8107,24324,32768,0.8,1.0,32912,1024,26350.35466699992,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,0,8107,24324,32768,0.7,0.875,32911,1024,17677.29941599987,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,1,8107,24324,32768,0.8,1.0,32911,1024,20769.092624999757,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,2,8107,24324,32768,0.8,1.0,32911,1024,15135.523250000006,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,3,8107,24324,32768,0.9,1.0,32911,1024,21786.281916999997,1,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,4,8107,24324,32768,0.8,1.0,32911,1024,16822.3184579997,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,5,8107,24324,32768,0.7,0.875,32911,1024,14948.21279200005,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,8107,24324,32768,0.9,1.0,32911,1024,16357.574041000134,1,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,7,8107,24324,32768,0.8,1.0,32911,1024,15313.714249999975,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,8,8107,24324,32768,0.7,0.875,32911,1024,22029.97037499972,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,9,8107,24324,32768,0.8,1.0,32911,1024,20318.016540999906,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,0,16215,16216,32768,0.8,1.0,32833,1024,20378.616500000135,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,1,16215,16216,32768,0.8,1.0,32833,1024,26715.002874999984,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,2,16215,16216,32768,0.9,1.0,32833,1024,14743.97129199997,1,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,3,16215,16216,32768,0.8,1.0,32833,1024,22807.087791999948,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,4,16215,16216,32768,0.8,1.0,32833,1024,19732.918166999752,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,5,16215,16216,32768,0.9,1.0,32833,1024,18901.71291699994,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,6,16215,16216,32768,0.7,0.875,32833,1024,15927.73487500017,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,7,16215,16216,32768,0.8,1.0,32833,1024,14506.05941699996,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,8,16215,16216,32768,0.8,1.0,32833,1024,14586.607749999985,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,9,16215,16216,32768,0.8,1.0,32833,1024,27467.614624999896,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,0,16215,16216,32768,0.9,1.0,32834,1024,24082.36183400004,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,1,16215,16216,32768,0.7,0.875,32834,1024,18663.994625000214,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,2,16215,16216,32768,0.8,1.0,32834,1024,27877.502249999907,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,3,16215,16216,32768,0.7,0.875,32834,1024,15913.143750000017,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,4,16215,16216,32768,0.8,1.0,32834,1024,25752.82504200004,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,5,16215,16216,32768,0.8,1.0,32834,1024,16659.442750000155,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,6,16215,16216,32768,0.7,0.875,32834,1024,19545.14062499993,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,7,16215,16216,32768,0.8,1.0,32834,1024,12988.0585840001,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,8,16215,16216,32768,0.8,1.0,32834,1024,15563.196500000231,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,9,16215,16216,32768,0.7,0.875,32834,1024,17490.35049999998,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,0,24323,8108,32768,0.8,1.0,32749,1024,14972.937499999716,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,1,24323,8108,32768,0.8,1.0,32749,1024,14972.483834000286,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,2,24323,8108,32768,0.8,1.0,32749,1024,25462.1306250001,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,3,24323,8108,32768,0.8,1.0,32749,1024,16637.06216699984,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,4,24323,8108,32768,0.8,1.0,32749,1024,22119.867416000034,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,5,24323,8108,32768,0.8,1.0,32749,1024,15604.018041000018,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,6,24323,8108,32768,0.8,1.0,32749,1024,17350.537333000146,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,7,24323,8108,32768,0.8,1.0,32749,1024,21261.84045800005,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,8,24323,8108,32768,0.8,1.0,32749,1024,19662.05141599994,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,9,24323,8108,32768,0.9,1.0,32749,1024,24424.226499999804,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,0,24323,8108,32768,0.9,1.0,32749,1024,22401.17083300015,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,1,24323,8108,32768,0.8,1.0,32749,1024,17307.31783300007,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,2,24323,8108,32768,0.8,1.0,32749,1024,26929.808625000078,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,3,24323,8108,32768,0.8,1.0,32749,1024,16003.034999999954,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,4,24323,8108,32768,0.9,1.0,32749,1024,23939.35425000018,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,5,24323,8108,32768,0.8,1.0,32749,1024,31014.336332999846,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,6,24323,8108,32768,1.0,1.0,32749,1024,29638.13537500005,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,7,24323,8108,32768,0.8,1.0,32749,1024,18560.830291000002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,8,24323,8108,32768,0.7,0.875,32749,1024,23339.961250000215,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,reason_first,9,24323,8108,32768,0.7,0.875,32749,1024,29767.289041999902,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,0,29187,3244,32768,0.8,1.0,32701,1024,12565.02779199991,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,1,29187,3244,32768,0.8,1.0,32701,1024,20022.32029200013,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,2,29187,3244,32768,0.8,1.0,32701,1024,22016.889750000017,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,3,29187,3244,32768,0.8,1.0,32701,1024,23780.09741700021,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,4,29187,3244,32768,0.9,1.0,32701,1024,18445.42258299998,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,5,29187,3244,32768,0.8,1.0,32701,1024,20525.328333000063,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,6,29187,3244,32768,0.9,1.0,32701,1024,15729.972250000174,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,7,29187,3244,32768,0.8,1.0,32701,1024,16645.215000000007,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,8,29187,3244,32768,0.8,1.0,32701,1024,12286.285833999955,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,9,29187,3244,32768,0.8,1.0,32701,1024,17823.11020799989,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,0,29187,3244,32768,0.7,0.875,32701,1024,19962.28908399985,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,1,29187,3244,32768,0.7,0.875,32701,1024,57388.58125000002,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,2,29187,3244,32768,0.9,1.0,32701,1024,15058.336416000202,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,3,29187,3244,32768,0.8,1.0,32701,1024,27003.86125,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,4,29187,3244,32768,0.8,1.0,32701,1024,35588.949708000204,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,5,29187,3244,32768,0.9,1.0,32701,1024,12659.710083999926,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,6,29187,3244,32768,0.8,1.0,32701,1024,36291.42408400003,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,7,29187,3244,32768,0.8,1.0,32701,1024,16568.6626669999,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,8,29187,3244,32768,0.7,0.875,32701,1024,23524.480667000033,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,9,29187,3244,32768,0.7,0.875,32701,1024,81545.61654200006,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.95,coord_first,0,30809,1622,32768,0.8,1.0,32683,1024,16346.310165999967,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,1,30809,1622,32768,0.7,0.875,32683,1024,16501.427208999758,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.95,coord_first,2,30809,1622,32768,0.8,1.0,32683,1024,14946.124082999631,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,3,30809,1622,32768,0.8,1.0,32683,1024,40625.61970900015,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,4,30809,1622,32768,0.7,0.875,32683,1024,17658.22787499974,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.95,coord_first,5,30809,1622,32768,0.7,0.875,32683,1024,13800.926792000155,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.95,coord_first,6,30809,1622,32768,0.8,1.0,32683,1024,16723.24891700009,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,7,30809,1622,32768,0.8,1.0,32683,1024,16191.906249999874,0,0,1,1,1,1,1,1,1,1
