model,provider,budget,proportion,n,mean_effective
gpt-4.1-mini,openai,32768,0.0,20,1.0
gpt-4.1-mini,openai,32768,0.25,20,0.9625
gpt-4.1-mini,openai,32768,0.5,20,0.96875
gpt-4.1-mini,openai,32768,0.75,20,0.9875
gpt-4.1-mini,openai,32768,0.9,20,0.975
gpt-4.1-mini,openai,32768,0.95,20,0.9625
gpt-4.1-mini,openai,32768,0.975,20,0.96875
gpt-4.1-mini,openai,32768,0.99,20,0.725
claude-haiku-4-5-20251001,anthropic,32768,0.0,20,0.9
claude-haiku-4-5-20251001,anthropic,32768,0.25,20,0.94375
claude-haiku-4-5-20251001,anthropic,32768,0.5,20,0.875
claude-haiku-4-5-20251001,anthropic,32768,0.75,20,0.89375
claude-haiku-4-5-20251001,anthropic,32768,0.9,20,0.81875
claude-haiku-4-5-20251001,anthropic,32768,0.95,20,0.9
claude-haiku-4-5-20251001,anthropic,32768,0.975,20,0.84375
claude-haiku-4-5-20251001,anthropic,32768,0.99,20,0.45625
gemini-2.5-flash,google,32768,0.0,20,1.0
gemini-2.5-flash,google,32768,0.25,20,1.0
gemini-2.5-flash,google,32768,0.5,20,1.0
gemini-2.5-flash,google,32768,0.75,20,1.0
gemini-2.5-flash,google,32768,0.9,20,1.0
gemini-2.5-flash,google,32768,0.95,20,0.9875
gemini-2.5-flash,google,32768,0.975,20,0.9875
gemini-2.5-flash,google,32768,0.99,20,0.61875
