model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.0,coord_first,0,0,7855,8192,0.8,1.0,8971,907,7366.841124999837,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,7855,8192,0.8,1.0,8971,1017,7952.290374999848,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,2,0,7855,8192,0.8,1.0,8971,955,7742.445124999904,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,3,0,7855,8192,0.8,1.0,8971,776,6608.321458000091,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,4,0,7855,8192,0.8,1.0,8971,934,6575.931375000209,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,5,0,7855,8192,0.8,1.0,8971,1008,6746.971874999872,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,6,0,7855,8192,0.9,1.0,8971,732,5266.144250000025,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,7,0,7855,8192,0.8,1.0,8971,762,4938.986999999997,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,8,0,7855,8192,1.0,1.0,8971,920,6177.253374999964,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,9,0,7855,8192,0.8,1.0,8971,758,5067.106833999787,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,10,0,7855,8192,1.0,1.0,8971,960,7033.2218329999705,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,11,0,7855,8192,0.9,1.0,8971,932,6294.787625000026,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,12,0,7855,8192,0.8,1.0,8971,766,5759.8064170001635,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,13,0,7855,8192,0.8,1.0,8971,738,5202.500166999926,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,14,0,7855,8192,0.7,0.875,8971,767,5287.524458000007,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,coord_first,15,0,7855,8192,0.8,1.0,8971,732,5410.759209000389,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,16,0,7855,8192,0.8,1.0,8971,931,6852.405958000418,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,17,0,7855,8192,0.9,1.0,8971,753,6495.370333999745,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,18,0,7855,8192,0.9,1.0,8971,911,7139.73974999999,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,19,0,7855,8192,0.8,1.0,8971,746,6104.314582999905,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,0,0,7855,8192,0.8,1.0,8971,705,6205.413166999961,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,1,0,7855,8192,0.9,1.0,8971,710,5737.862000000177,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,2,0,7855,8192,0.8,1.0,8971,876,7212.046582999847,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,3,0,7855,8192,0.9,1.0,8971,998,8325.116999999864,0,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,4,0,7855,8192,0.8,1.0,8971,871,6788.476791999983,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,5,0,7855,8192,0.8,1.0,8971,761,6260.585042000002,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,6,0,7855,8192,0.8,1.0,8971,851,6895.221166999818,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,7,0,7855,8192,0.8,1.0,8971,685,5007.63649999999,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,8,0,7855,8192,0.8,1.0,8971,712,5080.877542000053,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,9,0,7855,8192,0.8,1.0,8971,784,5413.3078329998625,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,10,0,7855,8192,0.8,1.0,8971,820,5865.186166000058,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,11,0,7855,8192,0.8,1.0,8971,727,5229.939207999905,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,12,0,7855,8192,0.8,1.0,8971,847,5844.086667000056,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,13,0,7855,8192,0.8,1.0,8971,950,6349.0221249999195,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,14,0,7855,8192,0.8,1.0,8971,851,5590.9750840000925,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,15,0,7855,8192,0.9,1.0,8971,899,6181.956833000186,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,16,0,7855,8192,0.8,1.0,8971,875,5666.592291000143,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,17,0,7855,8192,0.8,1.0,8971,799,5379.204999999729,0,0,1,1,1,1,1,1,1,1
