model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,0,7226,629,8192,1.0,1.0,9312,1024,10476.399167000636,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,1,7226,629,8192,1.0,1.0,9312,1024,8634.496583999862,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,2,7226,629,8192,0.7,0.875,9312,1024,8950.535374999163,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,3,7226,629,8192,0.9,1.0,9312,1024,9140.670500000851,1,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,4,7226,629,8192,0.7,0.625,9312,1024,9383.394750000662,1,1,1,1,0,0,0,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,5,7226,629,8192,0.6,0.625,9312,1024,9700.06579099936,0,1,1,1,0,0,0,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,6,7226,629,8192,1.0,1.0,9312,1024,9767.998916999204,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,7,7226,629,8192,0.9,0.875,9312,1024,9780.96241700041,1,1,1,1,1,1,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,8,7226,629,8192,0.9,0.875,9312,1024,9694.01545800065,1,1,1,1,1,1,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,9,7226,629,8192,0.7,0.625,9312,1024,9527.943042001425,1,1,1,1,0,0,0,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,10,7226,629,8192,1.0,1.0,9312,1024,10041.842750000797,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,11,7226,629,8192,0.8,0.875,9312,1024,9428.869832998316,0,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,12,7226,629,8192,0.9,0.875,9312,1024,9596.929249997629,1,1,1,1,1,1,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,13,7226,629,8192,1.0,1.0,9312,1024,9103.690416999598,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,14,7226,629,8192,0.8,0.875,9312,1024,9039.586499999132,0,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,15,7226,629,8192,0.9,0.875,9312,1024,10456.03737500278,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,16,7226,629,8192,0.9,0.875,9312,1024,9528.109209000831,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,17,7226,629,8192,1.0,1.0,9312,1024,8941.736791999574,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,18,7226,629,8192,0.6,0.5,9312,1024,9714.980583001307,1,1,1,1,0,0,0,1,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,19,7226,629,8192,0.8,0.875,9312,1024,8797.992665997299,0,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,0,7226,629,8192,0.6,0.75,9312,1024,10214.69120799884,0,0,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,1,7226,629,8192,0.8,0.875,9312,1024,11376.087750000806,1,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,2,7226,629,8192,0.7,0.875,9312,1024,11947.361124999588,0,0,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,3,7226,629,8192,0.7,0.875,9312,1024,11761.1537089997,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,4,7226,629,8192,0.7,0.875,9312,1024,12043.221207999522,0,0,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,5,7226,629,8192,0.7,0.875,9312,1024,11156.94049999911,0,0,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,6,7226,629,8192,0.6,0.75,9312,1024,10093.501957999251,0,0,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,7,7226,629,8192,0.9,0.875,9312,1024,11072.2135420001,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,8,7226,629,8192,0.6,0.75,9312,1024,10596.715541996673,0,0,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,9,7226,629,8192,0.7,0.75,9312,1024,11033.668167001451,0,1,1,1,1,1,1,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,10,7226,629,8192,0.7,0.75,9312,1024,11762.538041999505,0,1,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,11,7226,629,8192,0.7,0.875,9312,1024,10520.020209001814,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,12,7226,629,8192,0.7,0.875,9312,1024,12027.214708999963,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,13,7226,629,8192,0.9,0.875,9312,1024,11667.95962499964,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,14,7226,629,8192,0.8,1.0,9312,1024,12218.957666998904,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,15,7226,629,8192,0.8,0.875,9312,1024,11211.90070800003,0,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,16,7226,629,8192,0.6,0.625,9312,1024,10482.648707999033,0,1,1,1,0,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,17,7226,629,8192,0.6,0.75,9312,1024,10730.414083998767,0,0,1,1,0,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,18,7226,629,8192,0.9,0.875,9312,1024,11649.598915999377,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,19,7226,629,8192,0.7,0.875,9312,1024,10810.40099999882,0,0,1,1,1,1,1,0,1,1
