model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.92,coord_first,0,7226,629,8192,0.7,0.875,8721,817,5821.192583000084,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,1,7226,629,8192,0.7,0.875,8721,651,5107.851583999945,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,2,7226,629,8192,0.7,0.875,8721,711,5946.803833001468,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,3,7226,629,8192,0.7,0.875,8721,669,4572.649542000363,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,4,7226,629,8192,0.7,0.875,8721,713,4757.525375000114,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,5,7226,629,8192,0.8,1.0,8721,691,4650.860416999421,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.92,coord_first,6,7226,629,8192,0.7,0.875,8721,753,5565.725332999136,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,7,7226,629,8192,0.7,0.875,8721,1024,6025.061084001209,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,8,7226,629,8192,0.7,0.875,8721,797,5596.749291999004,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,9,7226,629,8192,0.7,0.875,8721,733,4972.7194579973,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,10,7226,629,8192,0.7,0.875,8721,683,4779.100292002113,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,11,7226,629,8192,0.8,1.0,8721,761,6249.484749998373,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.92,coord_first,12,7226,629,8192,0.7,0.875,8721,816,6367.120167000394,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,13,7226,629,8192,0.7,0.875,8721,731,5698.989042000903,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,14,7226,629,8192,0.8,0.875,8721,716,5449.341708001157,1,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,15,7226,629,8192,0.7,0.875,8721,1024,8032.137457998033,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,16,7226,629,8192,0.7,0.875,8721,920,8068.690083000547,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,17,7226,629,8192,0.7,0.875,8721,663,4925.545666999824,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,18,7226,629,8192,0.7,0.875,8721,791,6036.03720799947,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,coord_first,19,7226,629,8192,0.8,0.875,8721,853,6436.611582998012,1,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,reason_first,0,7226,629,8192,0.7,0.875,8721,840,6612.951540999347,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,reason_first,1,7226,629,8192,0.8,1.0,8721,810,5253.458083001533,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.92,reason_first,2,7226,629,8192,0.7,0.875,8721,1018,6785.080834000837,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.92,reason_first,3,7226,629,8192,0.8,1.0,8721,890,6982.673208000051,0,0,1,1,1,1,1,1,1,1
