model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.92,coord_first,0,7226,629,8192,0.8,1.0,8186,1024,13503.052000000025,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,1,7226,629,8192,0.7,0.875,8186,1024,13699.024790999829,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.92,coord_first,2,7226,629,8192,0.8,1.0,8186,1024,12373.365833000207,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,3,7226,629,8192,0.7,0.875,8186,1024,16849.750624998705,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.92,coord_first,4,7226,629,8192,0.7,0.875,8186,1024,16875.88549999964,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.92,coord_first,5,7226,629,8192,0.8,1.0,8186,1024,15520.08166700034,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,6,7226,629,8192,0.8,1.0,8186,1024,15968.586541999684,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,7,7226,629,8192,0.8,1.0,8186,1024,15424.589624999498,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,8,7226,629,8192,0.8,1.0,8186,1024,13160.474042000715,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,9,7226,629,8192,0.8,1.0,8186,1024,15717.289750002237,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,10,7226,629,8192,0.8,1.0,8186,1024,15255.513000000064,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,11,7226,629,8192,0.8,1.0,8186,1024,15318.683665998833,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,12,7226,629,8192,0.8,1.0,8186,1024,13621.921334000945,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,13,7226,629,8192,0.8,1.0,8186,1024,13232.408042000316,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,14,7226,629,8192,0.8,1.0,8186,1024,17667.73245800141,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,15,7226,629,8192,0.8,1.0,8186,1024,12437.090833002003,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,16,7226,629,8192,0.8,1.0,8186,1024,16143.177000001742,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,17,7226,629,8192,0.8,1.0,8186,1024,17295.543459000328,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,18,7226,629,8192,0.8,1.0,8186,1024,33824.16308399843,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,coord_first,19,7226,629,8192,0.8,1.0,8186,1024,12473.789332998422,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,0,7226,629,8192,0.8,1.0,8186,1024,19611.588707999545,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,1,7226,629,8192,0.7,0.875,8186,1024,18162.374666997493,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.92,reason_first,2,7226,629,8192,0.8,1.0,8186,1024,16986.574499998824,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,3,7226,629,8192,0.8,1.0,8186,1024,18747.193084000173,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,4,7226,629,8192,0.8,1.0,8186,1024,13907.159750000574,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,5,7226,629,8192,0.8,1.0,8186,1024,15439.59145899862,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,6,7226,629,8192,0.8,1.0,8186,1024,15169.092625001213,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,7,7226,629,8192,0.8,1.0,8186,1024,18377.481957999407,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,8,7226,629,8192,0.8,1.0,8186,1024,19866.591167003207,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.92,reason_first,9,7226,629,8192,0.7,0.875,8186,1024,13569.062124999618,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.92,reason_first,10,7226,629,8192,0.8,1.0,8186,1024,20155.478166001558,0,0,1,1,1,1,1,1,1,1
